cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
black hole sun::soundgarden,True,Black Hole Sun Soundgarden Superunknown (Deluxe Edition),Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c3/7c/32/c37c32b4-b95d-1714-a205-4848458c0ba1/mzaf_7576631968114037271.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/69/60/2e/69602e04-f483-70a7-51b6-5dc6b58273ce/00602537879830.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/black-hole-sun/1440855214?i=1440855436&uo=4,itunes
black horse and the cherry tree::kt tunstall,True,Black Horse And The Cherry Tree KT Tunstall Eye To The Telescope,Black Horse and the Cherry Tree (Radio Version),KT Tunstall,Eye To the Telescope,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cb/1c/77/cb1c77cb-9da2-9d05-6852-f6241bf727cb/mzaf_7071967096657706025.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/c4/b7/cac4b7d8-a7e9-c2e6-813d-d32ec271c322/00094635541052.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/black-horse-and-the-cherry-tree-radio-version/724692632?i=724693243&uo=4,itunes
black white felt::roedelius arnold kasar,True,Black White Felt Roedelius Arnold Kasar Einfluss,Black White Felt,Roedelius & Arnold Kasar,Einfluss,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/68/11/5d/68115d7d-f2fa-1395-66a1-7066918254ff/mzaf_10331711575490956344.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/83/5d/34/835d3438-3196-34aa-9995-60cc8f1bab81/17UMGIM06545.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/black-white-felt/1452331519?i=1452332056&uo=4,itunes
blade runner::beast in black,False,Blade Runner Beast In Black Dark Connection,,,,,,,itunes
blanket of white::sleepy clouds,False,Blanket of White Sleepy Clouds Elevated,,,,,,,itunes
blind and frozen::beast in black,False,Blind and Frozen Beast In Black Berserker,,,,,,,itunes
blister in the sun::violent femmes,True,Blister In The Sun Violent Femmes Violent Femmes,Blister In The Sun,Violent Femmes,Violent Femmes,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/33/d0/88/33d088db-65e3-ea70-e8a5-e0d19774ddf2/mzaf_12883542085691579801.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/92/ba/7f/92ba7f8c-77f0-23d2-fbcb-6617785f940e/18CRGIM06158.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/blister-in-the-sun/1576789411?i=1576789643&uo=4,itunes
block rockin' beats::the chemical brothers,False,Block Rockin' Beats The Chemical Brothers Brotherhood,,,,,,,itunes
blue sphere::sea of waves,False,Blue Sphere Sea of Waves Blue Sphere,,,,,,,itunes
boquinha::marcynho sensa莽茫o,False,Boquinha Marcynho Sensa莽茫o E 脡 uma Banda 脡?,,,,,,,itunes
born again::beast in black,False,Born Again Beast In Black Berserker,,,,,,,itunes
boston::augustana,False,Boston Augustana All The Stars and Boulevards,,,,,,,itunes
bota pra torar::pisadinha do vaqueiro,False,Bota pra Torar Pisadinha do Vaqueiro Na Pegada do Vaqueiro,,,,,,,itunes
bra::cymande,False,Bra Cymande Cymande,,,,,,,itunes
brand new::ben rector,False,Brand New Ben Rector Brand New,,,,,,,itunes
brave::sara bareilles,True,Brave Sara Bareilles The Blessed Unrest,Brave,Sara Bareilles,The Blessed Unrest,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b9/9c/53/b99c539d-32eb-8ddb-4701-e23292ce0d06/mzaf_7251595647808145863.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8e/6d/82/8e6d82f3-b795-d68a-ecba-aebeec214b22/886443982444.jpg/600x600bb.jpg,https://music.apple.com/us/album/brave/1440504715?i=1440504730&uo=4,itunes
brazil::declan mckenna,False,Brazil Declan McKenna What Do You Think About the Car?,,,,,,,itunes
breathe (2 am)::anna nalick,False,Breathe (2 AM) Anna Nalick Wreck of the Day,,,,,,,itunes
breathe (feat. rza) [liam h and rene lavice re-amp]::the prodigy rza ren茅 lavice,False,Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp] The Prodigy RZA Ren茅 LaVice Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp],,,,,,,itunes
breathe::the prodigy,False,Breathe The Prodigy The Fat of the Land,,,,,,,itunes
brighter days - dajae- underground mix '93::cajmere dajae,False,Brighter Days - Dajae- Underground Mix '93 Cajmere Dajae It's Time,,,,,,,itunes
brincou de amor::iguinho e lulinha,False,Brincou de Amor Iguinho e Lulinha Simbora pra Vaquejada,,,,,,,itunes
